x y
5917495.183 10.32
5912487.368 9.72
5907569.907 4.97
5912733.363 5.69
5907299.869 7
5915597.224 8.78
5915777.942 11.3
5915984.39 6.58
5916298.587 6.71
5916301.93 4.83
5918361.196 8.2
5916026.573 14.94
5915913.67 15.43
5912708.48 12.88
5912708.48 13.72
5912267.59 11.9
5912267.59 12.45
5912391.72 14.53
5912391.72 16.31
5914397.16 13.03
5914397.16 16.7
5917416.01 13.36
5917416.01 15.52
5916330.37 29.4
5916330.37 23.27
5907839.12 12.97
5907839.12 13.29
5907369.89 36.16
5907369.89 36.26
5891834.6 21.81
5891834.6 23.2
5908886.66 14.53
5908886.66 14.31
5910415.93 17.1
5910415.93 17.58
5913404.07 16.51
5913404.07 16.49
5913090.52 15.6
5913090.52 16.41
