Time Points
81 9189
89 8324
101 7250
81 9089
85 8685
86 8569
78 9516
104 7126
120 6139
81 9124
76 9786
79 9421
92 8033
81 9059
107 6973
108 6917
73 10111
79 9451
77 9526
85 8814
141 5225
88 8529
92 8067
65 11423
96 7755
99 7547
93 7992
73 10106
91 8168
83 8964
96 7657
91 8252
93 8067
85 8719
70 10551
113 6521
113 6546
102 7350
84 8904
123 6019
89 8304
73 10111
90 8362
97 7787
82 9094
124 6105
101 7325
85 8809
78 9526
96 7852
85 8699
84 8853
83 8969
84 8900
153 4790
92 8027
88 8314
79 9451
112 6716
81 9194
74 9806
72 10167
99 7417
97 7689
108 6850
98 7512
60 12203
111 6854
175 4451
71 10426
76 9764
68 10738
195 4152
297 2712
73 10116
109 6780
69 10693
69 10563
461 1918
75 9881
84 8799
81 9074
65 11403
66 11193
120 6226
88 8429
92 8087
347 2383
408 2150
103 7170
63 11753
272 2896
227 3639
341 2313
250 2880
74 9991
71 10376
85 8709
120 6156
84 8794
325 2451
496 1753
120 6178
110 6678
