# runoff and precipitation. Wilde Weisseritz, Osterzgebirge, Sachsen, Germany
Q	P
0,089	0
0,089	0
0,089	0
0,089	0
0,089	0
0,089	0
0,089	0
0,089	0
0,089	0
0,089	0
0,089	0
0,089	0
0,089	0
0,089	0
0,089	0
0,075	0,85
0,253	9,25
0,431	14,55
0,892	4,05
1,115	1,5
1,173	0,6
1,016	0,5
0,856	1,15
0,757	0,65
0,71	0,65
0,65	0,25
0,607	0
0,552	0,05
0,512	0
0,475	0
0,438	0,05
0,415	0
0,349	0
0,349	0
0,329	0
0,308	0
0,308	0
0,28	0
0,271	0
0,271	0
0,235	0
0,235	0
0,235	0
0,235	0
0,211	0
0,203	0
0,203	0
0,196	0
0,173	0
0,173	0
0,173	0
0,173	0
0,173	0
0,173	0
0,173	0
0,173	0
0,173	0
0,173	0
0,173	0
0,173	0
0,173	0
0,173	0
0,146	0
0,146	0
0,146	0
0,146	0
0,146	0
0,146	0
0,133	0
0,121	0
0,121	0
0,121	0
0,121	0
0,121	0
0,121	0
0,121	0
0,121	0
0,121	0
0,121	0
0,121	0
0,121	0
0,121	0
0,121	0
0,121	0
0,121	0
0,121	0
0,121	0
0,121	0
0,121	0



0,173	0
0,173	0
0,173	0
0,173	0
0,173	0
0,173	0
0,173	0
0,173	0
0,173	0
0,173	0
0,173	0
0,173	0
0,166	0
0,146	0
0,146	0
0,146	0
0,146	0
0,146	0
0,146	0
0,146	0
0,146	0
0,146	0
0,146	0
0,146	0
0,146	0
0,146	0
0,146	0,05
0,146	0,15
0,146	0,5
0,146	0,55
0,146	0
0,146	0,05
0,146	0
0,146	0,05
0,146	0,05
0,146	0
0,146	0
0,146	0,3
0,146	2,35
0,146	1,7
0,16	3,65
0,181	4,9
0,262	4,45
0,404	0,45
0,539	0
0,593	0
0,593	0
0,593	0
0,538	0
0,5	0
0,475	0
0,438	0
0,426	0
0,392	0
0,381	0
0,349	0
0,349	0
0,329	0,05
0,308	2,3
0,308	4,75
0,329	5,25
0,477	2,4
0,878	2,1
1,278	4,8
2,029	0,5
2,335	0
2,107	0
1,737	0
1,474	0,45
1,255	0,7
1,133	1,85
1,054	3,2
1,113	2,9
1,429	1,3
1,788	0,6
1,943	0,2
1,813	0,15
1,614	0
1,428	0,05
1,275	0,1
1,173	0,1
1,074	0
0,998	0
0,926	0
0,891	0
0,839	0
0,789	0
0,773	0
0,726	0
0,71	0
0,665	0
0,65	0
0,65	0
0,593	0
0,593	0
0,593	0
0,593	0
0,566	0
0,538	0
0,538	0
0,538	0,05
0,487	0
0,487	0
0,487	0
0,487	0
0,487	0
0,487	0
0,487	0
0,487	0
0,487	0
0,487	0
0,487	0
0,487	0
0,487	0
0,487	0
0,487	0
0,487	0
0,487	0
0,487	0
0,415	0
0,392	0
0,392	0
0,392	0
0,392	0
0,392	0
0,392	0
0,392	0
0,392	0
0,392	0
0,392	0
0,392	0
0,392	0
0,392	0
0,392	0
0,392	0
0,392	0
0,392	0
0,392	0
0,392	0
0,392	0
0,392	0
0,349	0
0,349	0
0,349	0
0,349	0
0,349	0
0,349	0
0,349	0
0,349	0
0,349	0
0,349	0
0,349	0
0,349	0
0,349	0,2
0,349	0
0,349	0
0,349	0
0,349	0
0,349	0
0,349	0
0,349	0
0,349	0
0,349	0,05
0,349	0
0,349	0
0,349	0
0,349	0,05
0,349	0
0,349	0,1
0,349	0,05
0,349	0,05
0,349	0
0,349	0
