# Temperature Decline in Mug
Minuten	Temp
0	74,5
0,5	73,6
1	73,0
1,5	72,4
2	71,1
2,5	70,7
3	70,1
3,5	69,1
4	68,3
4,5	68,0
5	67,2
5,5	66,3
6	65,9
6,5	65,3
7	64,7
7,5	64,0
8	63,1
8,5	62,6
9	61,6
9,5	NA
10	60,5
10,5	60,0
11	59,5
11,5	59,0
12	58,7
12,5	58,3
13	57,6
13,5	57,2
14	56,5
14,5	56,1
15	55,4
15,5	55,0
16	54,8
16,5	54,3
17	53,9
17,5	53,4
18	53,2
18,5	52,6
19	52,2
19,5	51,8
20	51,4
20,5	51,0
21	51,0
21,5	50,5
22	50,4
22,5	49,8
23	49,5
23,5	49,1
24	48,7
24,5	48,4
25	48,1
25,5	47,7
26	47,4
26,5	47,1
27	46,8
27,5	46,5
28	46,2
28,5	45,9
29	45,6
29,5	45,3
30	45,0
30,5	44,8
31	44,5
31,5	44,3
32	44,0
32,5	43,8
33	43,6
33,5	43,3
34	43,1
34,5	42,9
35	42,6
35,5	42,4
36	42,2
36,5	42,0
37	41,8
37,5	41,6
38	41,3
38,5	41,1
39	40,9
39,5	40,7
40	40,5
45	38,7
50	37,1
55	35,7
60	34,4
65	33,2
70	32,2
90	29,0
115	26,8
120	26,5
140	25,3

