x y
33408047.33 10.32
33408038.32 9.72
33403589.09 4.97
33408155.79 5.69
33403966.7 7
33413999.28 8.78
33413999.02 11.3
33414169.61 6.58
33419310.47 6.71
33419611.79 4.83
33410713.96 8.2
33418928.72 14.94
33419193.89 15.43
33412572.29 12.88
33412572.29 13.72
33409711.82 11.9
33409711.82 12.45
33410046.77 14.53
33410046.77 16.31
33408727.29 13.03
33408727.29 16.7
33410857.93 13.36
33410857.93 15.52
33426968.67 29.4
33426968.67 23.27
33421172.56 12.97
33421172.56 13.29
33423415.62 36.16
33423415.62 36.26
33420261.65 21.81
33420261.65 23.2
33422250.88 14.53
33422250.88 14.31
33420582.01 17.1
33420582.01 17.58
33419850.29 16.51
33419850.29 16.49
33417940.57 15.6
33417940.57 16.41
