Time	Points	Bonus
54	13385	12950
54	13405	12950
55	13265	12705
56	13155	12495
57	12790	12250
58	12600	12040
60	12203	NA
60	12093	11655
61	11893	11445
61	11888	11445
61	12138	NA
61	11898	NA
62	11723	11270
62	11943	11270
62	11938	11270
62	11823	11270
62	11933	11270
62	11848	11270
63	11095	NA
63	11653	NA
63	11543	11095
63	11753	NA
64	11498	10920
64	11383	10920
65	11293	10745
65	11308	10745
65	11303	10745
65	11423	NA
65	11403	NA
66	11063	10605
66	10948	10605
66	11168	10605
66	11198	10605
66	11053	10605
66	11193	NA
66	11183	NA
67	10998	10430
67	11003	10430
67	10993	NA
67	10933	10430
67	11008	10430
68	10773	10290
68	10848	10290
68	10878	10290
68	10773	10290
68	10853	10290
68	10898	10290
68	10638	NA
68	10738	NA
69	10698	10115
69	10573	10115
69	10693	NA
69	10563	NA
70	10546	9975
70	10531	9975
70	10536	9975
70	10416	9975
70	10352	9975
70	10546	9975
70	10446	9975
70	10551	NA
71	10201	9835
71	10286	9835
71	10426	NA
71	10376	NA
71	10411	NA
72	10266	9695
72	10266	9695
72	10261	9695
72	10251	9695
72	10261	9695
72	10291	9695
72	10136	9695
72	10171	9695
72	10161	9695
72	10167	NA
72	10151	NA
73	9996	9555
73	10111	NA
73	10106	NA
73	10156	9555
73	10111	NA
73	10116	NA
73	10031	NA
73	10026	9555
74	9911	9450
74	10016	9450
74	10016	9450
74	9929	9450
74	9911	9450
74	10031	9450
74	9936	9450
74	9806	NA
74	9991	NA
75	9776	9310
75	9871	9310
75	9882	9310
75	9784	9310
75	9761	9310
75	9796	9310
75	9881	NA
76	9651	9205
76	9676	9205
76	9791	9205
76	9671	9205
76	9794	9205
76	9691	9205
76	9786	NA
76	9764	NA
77	9292	9065
77	9526	9065
77	9634	9065
77	9521	9065
77	9514	9065
77	9646	9065
77	9531	9065
77	9526	NA
77	9546	NA
78	9451	8960
78	9442	8960
78	9436	8960
78	9431	8960
78	9436	8960
78	9451	8960
78	9411	8960
78	9516	NA
78	9526	NA
79	9431	8855
79	9451	8855
79	9309	8855
79	9439	8855
79	9186	8855
79	9431	8855
79	9211	8855
79	9299	8855
79	9414	8855
79	9441	8855
79	9126	8855
79	9336	8855
79	9421	NA
79	9451	NA
79	9451	NA
79	9436	NA
80	9339	8750
80	9289	8750
80	9219	8750
80	9089	8750
80	9234	NA
81	9174	8610
81	9294	8610
81	9164	8610
81	9059	8610
81	9159	8610
81	9189	NA
81	9089	NA
81	9124	NA
81	9059	NA
81	9194	NA
81	9074	NA
81	9199	NA
82	8964	8505
82	8979	8505
82	9094	8505
82	9094	NA
82	9084	NA
82	9104	NA
82	8974	NA
82	9064	NA
83	8849	8400
83	8899	8400
83	8889	8400
83	8759	8400
83	8869	8400
83	8864	8400
83	8859	8400
83	8964	8400
83	8777	8400
83	8964	NA
83	8969	NA
83	9000	NA
83	8984	NA
84	8889	8330
84	8692	8330
84	8804	8330
84	8792	8330
84	8809	8330
84	8904	NA
84	8853	NA
84	8900	NA
84	8799	NA
84	8794	NA
85	8587	8225
85	8694	8225
85	8809	8225
85	8699	8225
85	8587	8225
85	8685	NA
85	8814	NA
85	8719	NA
85	8809	NA
85	8699	NA
85	8709	NA
86	8684	8120
86	8679	8120
86	8689	8120
86	8625	8120
86	8589	8120
86	8569	NA
87	8479	8015
87	8420	8015
87	8479	8015
87	8479	NA
87	8474	NA
88	8522	7945
88	8323	7945
88	8494	7945
88	8550	7945
88	8514	7945
88	8529	NA
88	8314	NA
88	8429	NA
89	8289	7840
89	8219	7840
89	8329	7840
89	8319	7840
89	8329	7840
89	8342	7840
89	8329	7840
89	8194	7840
89	8324	NA
89	8304	NA
90	8257	7770
90	8332	7770
90	8157	7770
90	8252	7770
90	8252	7770
90	8247	7770
90	8145	7770
90	8362	NA
90	8235	NA
91	8162	7665
91	8142	7665
91	7973	7665
91	8034	7665
91	8168	NA
91	8252	NA
91	8132	NA
92	7957	7595
92	8162	7595
92	8042	7595
92	8033	NA
92	8067	NA
92	8027	NA
92	8087	NA
93	7997	7525
93	8084	7525
93	7946	7525
93	8089	7525
93	7992	NA
93	8067	NA
93	8046	NA
93	7917	NA
94	7880	7420
94	7946	7420
94	7901	7420
94	7917	NA
95	7920	7350
95	7707	7350
95	7690	NA
96	7767	7280
96	7767	7280
96	7656	7280
96	7755	NA
96	7657	NA
96	7852	NA
97	7792	7210
97	7787	NA
97	7689	NA
97	7697	NA
98	7627	7140
98	7612	7140
98	7502	7140
98	7505	7140
98	7575	7140
98	7512	NA
99	7603	7070
99	7542	7070
99	7322	7070
99	7481	7070
99	7562	7070
99	7547	NA
99	7417	NA
100	7288	7000
101	7322	6930
101	7200	6930
101	7250	NA
101	7325	NA
102	7219	6860
102	7158	6860
102	7335	6860
102	7350	NA
102	7250	NA
103	7261	6790
103	7184	6790
103	7094	6790
103	7170	NA
104	7105	6720
104	7063	6720
104	7180	6720
104	7126	NA
105	7010	6650
105	7156	6650
105	7040	NA
106	6970	6580
106	6994	6580
107	6973	NA
108	6918	6475
108	6963	6475
108	6917	NA
108	6905	6475
108	6850	NA
109	6780	NA
110	6678	NA
111	6687	6300
111	6854	NA
112	6531	6230
112	6711	6230
112	6716	NA
113	6521	NA
113	6546	NA
116	6288	6020
118	6433	NA
120	6139	NA
120	6226	NA
120	6156	NA
120	6178	NA
121	6152	5775
122	5955	NA
123	6019	NA
124	6105	NA
126	5916	5530
128	5876	5460
131	5701	5320
141	5225	NA
153	4790	NA
155	4840	4515
171	4338	4060
175	4451	NA
195	4152	NA
227	3639	NA
250	2880	NA
272	2896	NA
297	2712	NA
325	2451	NA
341	2313	NA
347	2383	NA
408	2150	NA
461	1918	NA
496	1753	NA
